기간,회사,스펙,학교_원문,학교_분류,학과_원문,학과_계열,자격증,기타자격증,인턴,기타
2019 상반기,셀트리온,"지방국립대 / 분자생물 / 학점 3점 중반 / 토익 920, 오픽 IM2",지방국립대,지방대,분자생물,기타,"TOEIC 920, OPIc IM2",,,
2019 상반기,CJ 대한통운,"한국외대 서울캠퍼스 / 인도어 / 학점 3.9 / 토익 950 / 봉사 2회 , 공모전 1회, 인턴 1회",한국외대 서울캠퍼스,인서울,인도어,기타,TOEIC 950,,"봉사 2회 , 공모전 1회, 인턴 1회",
2021 상반기,피에스앤마케팅,"서울시립대학교 / 도시사회학과 / 학점 3.86 / 토익: 930, 토익스피킹: , 오픽: IM3, 기타: 컴활 1급, ADsP, SQLD / 사회생활 경험: 인프런 콘텐츠 마케터, 야놀자 조직문화 크리에이터 / 마이크임팩트 크루 1기, SK SUNNY 대학생 자원봉사단, 2017 유니브 엑스포 서울 기획단, 서울시립대학교 도시영화제 조직위원회 / 한국사검정시험: , 컴퓨터활용능력: 1급, 기타: ADsP, SQLD",서울시립대학교,인서울,도시사회학과,사회과학,"TOEIC 930, OPIc IM3, 토익스피킹 ","토익: 930, 토익스피킹: , 오픽: IM3, 기타: 컴활 1급, ADsP, SQLD / 한국사검정시험: , 컴퓨터활용능력: 1급, 기타: ADsP, SQLD",,"사회생활 경험: 인프런 콘텐츠 마케터, 야놀자 조직문화 크리에이터 / 마이크임팩트 크루 1기, SK SUNNY 대학생 자원봉사단, 2017 유니브 엑스포 서울 기획단, 서울시립대학교 도시영화제 조직위원회"
2020 상반기,한국철도공사(코레일),"명지대학교 / 학점 3.52 / 토익 765 / 교내활동으로 졸업작품제작, 컴퓨터활용능력 2급, 한국사 1급",명지대학교,인서울,학점 3.52,기타,TOEIC 765,"교내활동으로 졸업작품제작, 컴퓨터활용능력 2급, 한국사 1급",,
2020 하반기,한국소비자원,"신라대 / 식품영양학과 / 학점 3.52/4.5 / 토익: , 토익스피킹: 120/레벨5, 오픽: , 기타: / 사회생활 경험: 건강보험공단 기간제 1년 / 한국사검정시험: 고급, 컴퓨터활용능력: 1급, 기타: 워드프로세서 단일등급,식품기사",신라대,지방대,식품영양학과,자연과학,토익스피킹 120/레벨5,"한국사검정시험: 고급, 컴퓨터활용능력: 1급, 기타: 워드프로세서 단일등급,식품기사",,사회생활 경험: 건강보험공단 기간제 1년
2019 상반기,KT,전북대 / 신소재공학부 / 학점 3.38 / 토익 860,전북대,지방대,신소재공학부,공학,TOEIC 860,,,
2020 하반기,한국서부발전,국숭세단 / 경영 / 학점 3.8 / 토익: 885 / 사회생활 경험: 4대 보험공단 체험형인턴(5개월),국숭세단,인서울,경영,경영경제,TOEIC 885,,사회생활 경험: 4대 보험공단 체험형인턴(5개월),
2019 하반기,한국가스공사,"한경대학교 / 학점 4.1 / 토익 925점 / 컴퓨터활용능력 1급, 한국사능력검정 2급, 토목기사",한경대학교,지방대,학점 4.1,기타,TOEIC 925,"컴퓨터활용능력 1급, 한국사능력검정 2급, 토목기사",,
2019 상반기,주택도시보증공사,"교내 금융 동아리 3년, 학생회장단연합회 1년, 특성화고 권리 연합회 1년, 컴퓨터활용능력 2급, 전산회계1급, 전산세무2급, 전산회계운용사3급, 기업회계2급, 워드프로세서1급","교내 금융 동아리 3년, 학생회장단연합회 1년, 특성화고 권리 연합회 1년, 컴퓨터활용능력 2급, 전산회계1급, 전산세무2급, 전산회계운용사3급, 기업회계2급, 워드프로세서1급",기타,,,,"교내 금융 동아리 3년, 학생회장단연합회 1년, 특성화고 권리 연합회 1년, 컴퓨터활용능력 2급, 전산회계1급, 전산세무2급, 전산회계운용사3급, 기업회계2급, 워드프로세서1급",,
2016 상반기,삼성증권,"서울대학교 / 기술경영경제정책 / 학점 3.9 / 토스 Lv.6 / 해외자원개발협회 인턴, 포스코경영연구원 인턴",서울대학교,Top5,기술경영경제정책,경영경제,,,"해외자원개발협회 인턴, 포스코경영연구원 인턴",토스 Lv.6
2022 하반기,유한킴벌리(주),"한국외대 / 한국학 / 학점 4.01/4.5 / 토익: 965, 토익스피킹: , 오픽: AL, 기타: DELF B1 / 사회생활 경험: NGO 사회복지사업 인턴, AI 스타트업 인턴, 국제기구 인턴, 공기업 해외지사 인턴, 주한외국대사관 인턴 / 공공외교, 국제개발협력, 정부기관 대외활동 총 10회 / 한국사검정시험: 고급, 컴퓨터활용능력: 2급, 기타:",한국외대,인서울,한국학,기타,"TOEIC 965, OPIc AL, 토익스피킹 ","한국사검정시험: 고급, 컴퓨터활용능력: 2급, 기타:","사회생활 경험: NGO 사회복지사업 인턴, AI 스타트업 인턴, 국제기구 인턴, 공기업 해외지사 인턴, 주한외국대사관 인턴","공공외교, 국제개발협력, 정부기관 대외활동 총 10회"
2021 상반기,한국보건복지인재원,"지방사립대 / 국제의료경영학과 / 학점 2.71/4.5 / 토익: , 토익스피킹: , 오픽: IM2, 기타: / 사회생활 경험: 한국산업기술평가관리원 인턴 / 대외활동 11회 수상경력 5회 / 한국사검정시험: , 컴퓨터활용능력: , 기타: CS강사자격증, BLS Provider 자격증",지방사립대,지방대,국제의료경영학과,경영경제,"OPIc IM2, 토익스피킹 ","한국사검정시험: , 컴퓨터활용능력: , 기타: CS강사자격증, BLS Provider 자격증",사회생활 경험: 한국산업기술평가관리원 인턴,대외활동 11회 수상경력 5회
2015 상반기,GS리테일,"지방사립 / 물류 / 학점 4.2 / 토익 915 / 공항공사 공모전 수상, 교환학생",지방사립,지방대,물류,기타,TOEIC 915,,,"공항공사 공모전 수상, 교환학생"
2020 상반기,한국수력원자력,"한기대 / 메카 / 학점 3.87 / 토익: 810 / 한국사검정시험: 고급, 기타: 일반기계기사",한기대,지방대,메카,기타,TOEIC 810,"한국사검정시험: 고급, 기타: 일반기계기사",,
2016 하반기,SK증권,"중앙대학교 / 경영 / 학점 3.6 / 토익 975, 오픽 AL / 영업직 인턴 1회",중앙대학교,인서울,경영,경영경제,"TOEIC 975, OPIc AL",,영업직 인턴 1회,
2021 상반기,한국국토정보공사,"한국외대 / 경영학 / 학점 3.46 / 토익: 920, 토익스피킹: , 오픽: , 기타: / 사회생활 경험: 인턴 / 창의적아이디어공모전 / 한국사검정시험: 고급, 컴퓨터활용능력: 1급, 기타:",한국외대,인서울,경영학,경영경제,"TOEIC 920, 토익스피킹 ","한국사검정시험: 고급, 컴퓨터활용능력: 1급, 기타:",사회생활 경험: 인턴,창의적아이디어공모전
2020 하반기,그랜드백화점,"영남대 / 국어국문학 / 학점 3.23 / 토익: , 토익스피킹: , 오픽: im2, 기타: / 사회생활 경험: 엘지 유플러스 마케팅 전략팀 계약직 사원 근무 / 제4회 글로벌 이노베이터 페스타 아이디어톤 부분 대구디지털산업진흥원장상 수상 / 한국사검정시험: , 컴퓨터활용능력: 2급, 기타: 상공회의소한자 3급",영남대,지방대,국어국문학,인문어문,"OPIc im2, 토익스피킹 ","한국사검정시험: , 컴퓨터활용능력: 2급, 기타: 상공회의소한자 3급",,사회생활 경험: 엘지 유플러스 마케팅 전략팀 계약직 사원 근무 / 제4회 글로벌 이노베이터 페스타 아이디어톤 부분 대구디지털산업진흥원장상 수상
2021 상반기,사학연금공단,"중경외시 / 공학 / 학점 3 / 토익: , 토익스피킹: , 오픽: , 기타: / 사회생활 경험: / 한국사검정시험: , 컴퓨터활용능력: , 기타:",중경외시,인서울,공학,공학,토익스피킹 ,"한국사검정시험: , 컴퓨터활용능력: , 기타:",,사회생활 경험:
2020 하반기,코레일테크,조선대 / 정보통신공학과 / 학점 4.21/4.5 / 토익스피킹: 0 / 빅데이터분석과정 / 기타: 무선설비기사,조선대,지방대,정보통신공학과,공학,토익스피킹 0 / 빅데이터분석과정,기타: 무선설비기사,,빅데이터분석과정
2018 상반기,삼성바이오에피스,"경희대 / 학점 4.03 / 토익스피킹 레벨7(170) ,토익 915",경희대,인서울,학점 4.03,기타,"TOEIC 915, 토익스피킹 레벨7(170)",,,
2016 하반기,삼성전자DS,"단국대학교 / 통계학과 / 학점 3.9 / 토스 레벨6 / 관련 직무 인턴 1회(8개월), 공모전 다수(1회 수상), 대외활동 4번",단국대학교,지방대,통계학과,IT컴퓨터,,,"관련 직무 인턴 1회(8개월), 공모전 다수(1회 수상), 대외활동 4번",토스 레벨6
2015 하반기,유니클로,"지거국 / 지구과학 / 학점 3.7 / 오픽 IH, 토익 880",지거국,지방대,지구과학,자연과학,"TOEIC 880, OPIc IH",,,
2021 하반기,한국지능정보사회진흥원,"고졸 / 문과 / 학점 × / 토익: , 토익스피킹: , 오픽: , 기타: / 사회생활 경험: / 한국사검정시험: , 컴퓨터활용능력: , 기타:",고졸,기타,문과,기타,토익스피킹 ,"한국사검정시험: , 컴퓨터활용능력: , 기타:",,사회생활 경험:
2017 하반기,현대위아,학점 3.45 / 오픽 IH,학점 3.45,기타,오픽 IH,기타,OPIc IH,,,
2020 하반기,한국산업기술진흥원,"서경대 / 러시아어 / 학점 3.88/4.5 / 토익: 885, 오픽: IH, 기타: TORFL 2단계 / 사회생활 경험: 노랑풍선 정규직 1년 10개월 / 컴퓨터활용능력: 1급",서경대,지방대,러시아어,인문어문,"TOEIC 885, OPIc IH",컴퓨터활용능력: 1급,,사회생활 경험: 노랑풍선 정규직 1년 10개월
2021 상반기,미쓰비시 머티리얼 트레이딩,"오사카대학교 / 법학부 국제공공정책학과 / 학점 2.21/4.0 / 토익: , 토익스피킹: 150/레벨6, 오픽: , 기타: JPT 940/JLPT N1 / 사회생활 경험: 인턴- 일본영업 4개월 / 한국사검정시험: , 컴퓨터활용능력: 2급, 기타:",오사카대학교,지방대,법학부 국제공공정책학과,법행정,"토익스피킹 150/레벨6, JLPT N1","한국사검정시험: , 컴퓨터활용능력: 2급, 기타:",사회생활 경험: 인턴- 일본영업 4개월,
2021 하반기,한국철도공사(코레일),"아주대학교 / 전자공학과 / 학점 3.18 / 토익: 835, 토익스피킹: , 오픽: , 기타: / 사회생활 경험: / 한국사검정시험: 고급, 컴퓨터활용능력: 1급, 기타: 전기기사, 전기공사기사, 소방설비기사(전기), 정보처리기사",아주대학교,지방대,전자공학과,공학,"TOEIC 835, 토익스피킹 ","한국사검정시험: 고급, 컴퓨터활용능력: 1급, 기타: 전기기사, 전기공사기사, 소방설비기사(전기), 정보처리기사",,사회생활 경험:
2020 하반기,한국서부발전,"지거국 / 건축 / 학점 4.0/4.3 / 토익: 800, 오픽: IH / 한국사검정시험: 고급, 기타: 건축기사",지거국,지방대,건축,공학,"TOEIC 800, OPIc IH","한국사검정시험: 고급, 기타: 건축기사",,
2020 상반기,한국철도공사(코레일),신한대학교 / 학점 3.39 / 한국사능력검정시험 1급,신한대학교,지방대,학점 3.39,기타,,한국사능력검정시험 1급,,
2022 하반기,유디에스,수도권 4년제 / 전자공학과 / 학점 3.5,수도권 4년제,기타,전자공학과,공학,,,,
2018 상반기,삼성 바이오로직스,"계명대 / 생물학 / 학점 3.82 / 토스 6 / 인턴1회, 봉사다수 및 여러 활동",계명대,지방대,생물학,기타,,,"인턴1회, 봉사다수 및 여러 활동",토스 6
2021 하반기,스마트지오,"부산대학교 / 식물생명과학 / 학점 3.3 / 토익: , 토익스피킹: 130, 오픽: , 기타: / 사회생활 경험: 공기업인턴2개월 / 한국사검정시험: 고급, 컴퓨터활용능력: 1급, 기타: 정보처리기능사,문서실무사1급",부산대학교,지방대,식물생명과학,자연과학,토익스피킹 130,"한국사검정시험: 고급, 컴퓨터활용능력: 1급, 기타: 정보처리기능사,문서실무사1급",사회생활 경험: 공기업인턴2개월,
2020 하반기,한국남부발전,고려대학교 / 건축사회환경공학부 / 학점 3.5 / IH 940 / 없음,고려대학교,Top5,건축사회환경공학부,사회과학,,,,IH 940 / 없음
2018 상반기,대한항공,"중경외시 / 어문계열 / 학점 3.3 / 토익 930 / 봉사동아리 2회, 서포터즈 3회",중경외시,인서울,어문계열,인문어문,TOEIC 930,,,"봉사동아리 2회, 서포터즈 3회"
2021 상반기,주식회사 SR(에스알),"부경대 / 기계공학과 / 학점 3.96/4.5 / 토익: 810, 토익스피킹: , 오픽: IM2, 기타: / 사회생활 경험: / 한국사검정시험: 고급, 컴퓨터활용능력: , 기타: 일반기계기사, 산업안전기사",부경대,지방대,기계공학과,공학,"TOEIC 810, OPIc IM2, 토익스피킹 ","한국사검정시험: 고급, 컴퓨터활용능력: , 기타: 일반기계기사, 산업안전기사",,사회생활 경험:
2019 하반기,KB국민은행,"인천대학교 / 학점 3.61 / 토익 800, 토스 lv6 / 교내 마케팅동아리 1년, 스피치대회 시장상, IBK기업은행 체험형인턴(2018하계), KDB산업은행 체험형인턴(2019-2), 외환전문역 2종",인천대학교,지방대,학점 3.61,기타,TOEIC 800,,"교내 마케팅동아리 1년, 스피치대회 시장상, IBK기업은행 체험형인턴(2018하계), KDB산업은행 체험형인턴(2019-2), 외환전문역 2종",
2019 상반기,한화갤러리아,"서성한 / 독일문화 / 학점 3.6 / 토익 950, 오픽 IH",서성한,인서울,독일문화,인문어문,"TOEIC 950, OPIc IH",,,
2021 상반기,한국가스안전공사,"광명상가 / 화학과 / 학점 4.08 / 토익: 890, 토익스피킹: , 오픽: IM3, 기타: / 사회생활 경험: 한국환경산업기술원에서 3개월간 환경안전보건전문인력양성과정 이수, 상명대학교 중앙기기센터 1년근무 / 한국사검정시험: , 컴퓨터활용능력: 2급, 기타: 화학분석기사, 수질환경기사, 대기환경기사, 위험물산업기사",광명상가,기타,화학과,자연과학,"TOEIC 890, OPIc IM3, 토익스피킹 ","한국사검정시험: , 컴퓨터활용능력: 2급, 기타: 화학분석기사, 수질환경기사, 대기환경기사, 위험물산업기사",,"사회생활 경험: 한국환경산업기술원에서 3개월간 환경안전보건전문인력양성과정 이수, 상명대학교 중앙기기센터 1년근무"
2022 상반기,피에스앤마케팅,"중앙대 / 통계 / 학점 3.89/4.5 / 토익: , 토익스피킹: , 오픽: , 기타: / 사회생활 경험: / 한국사검정시험: 고급, 컴퓨터활용능력: 1급, 기타:",중앙대,인서울,통계,IT컴퓨터,토익스피킹 ,"한국사검정시험: 고급, 컴퓨터활용능력: 1급, 기타:",,사회생활 경험:
2016 하반기,현대건설,"인서울 / 경제 / 학점 3.54 / 토익 875, 토스6",인서울,인서울,경제,경영경제,TOEIC 875,,,
2018 하반기,LG전자,"서울 중상위 / 컴공 / 학점 3.3 / 토익 950, 토스 Level7 / 봉사활동, 인턴 1, 학부연구생",서울 중상위,기타,컴공,기타,TOEIC 950,,"봉사활동, 인턴 1, 학부연구생",
2015 하반기,SK하이닉스,"중경시 / 전자공학과 / 학점 4.01/4.5 / 토익 875, 토익스피킹 레벨 5",중경시,기타,전자공학과,공학,"TOEIC 875, 토익스피킹 레벨 5",,,
2021 상반기,한국교육학술정보원,지방사립대 / 국제의료경영학과 / 학점 2.71 / 오픽 IM2 / 인턴1회 / 대외활동10회,지방사립대,지방대,국제의료경영학과,경영경제,OPIc IM2,,인턴1회,대외활동10회
2020 하반기,전문건설공제조합,"한국외대 / 중국외교통상 / 학점 3.79 / 토익: 885 / 사회생활 경험: 신용보증기금 청년인턴(3개월) / 한국사검정시험: 고급, 컴퓨터활용능력: 1급",한국외대,인서울,중국외교통상,사회과학,TOEIC 885,"한국사검정시험: 고급, 컴퓨터활용능력: 1급",사회생활 경험: 신용보증기금 청년인턴(3개월),
2015 하반기,삼성전자,한동대 / 디자인 / 학점 3.77 / 토익스피킹 레벨 7,한동대,지방대,디자인,예체능디자인,토익스피킹 레벨 7,,,
2020 하반기,LH한국토지주택공사,건국 / 경제 / 학점 3.75,건국,기타,경제,경영경제,,,,
2018 하반기,코오롱베니트,서울4년제 / 통계학과 / 학점 4.0 / 토스 level6,서울4년제,기타,통계학과,IT컴퓨터,,,,토스 level6
2020 상반기,KAI,"계명대 / 기계공학전공 / 학점 4.22/4.5 / 토익: 730, 토익스피킹: 130/레벨6, 오픽: , 기타: / 사회생활 경험: / 해외봉사, 동아리, 교내활동, 교내 공모전 수상 2회, 직무 관련 교육사항 2개 / 한국사검정시험: , 컴퓨터활용능력: , 기타:",계명대,지방대,기계공학전공,공학,"TOEIC 730, 토익스피킹 130/레벨6","한국사검정시험: , 컴퓨터활용능력: , 기타:",,"사회생활 경험: / 해외봉사, 동아리, 교내활동, 교내 공모전 수상 2회, 직무 관련 교육사항 2개"
2021 상반기,춘천원예농협,"한림대 / 문과 / 학점 3.75 / 토익: , 토익스피킹: , 오픽: , 기타: / 사회생활 경험: 텔러계약직 / 애드캠프 총장상 / 한국사검정시험: 고급, 컴퓨터활용능력: , 기타: 사조사2급",한림대,지방대,문과,기타,토익스피킹 ,"한국사검정시험: 고급, 컴퓨터활용능력: , 기타: 사조사2급",,사회생활 경험: 텔러계약직 / 애드캠프 총장상
2018 상반기,LG CNS,,,기타,,,,,,
2018 상반기,삼성전자,"경희대 / 전자공학과 / 학점 3.4 / 토익 800 / 봉사활동 100시간 , 사회활동 , 경진대회",경희대,인서울,전자공학과,공학,TOEIC 800,,,"봉사활동 100시간 , 사회활동 , 경진대회"
2019 하반기,한국수자원공사,"교내 금융 동아리 3년, 학생회장단연합회 1년, 특성화고 권리 연합회 1년, 컴퓨터활용능력 2급, 전산회계1급, 전산세무2급, 전산회계운용사3급, 기업회계2급, 워드프로세서1급","교내 금융 동아리 3년, 학생회장단연합회 1년, 특성화고 권리 연합회 1년, 컴퓨터활용능력 2급, 전산회계1급, 전산세무2급, 전산회계운용사3급, 기업회계2급, 워드프로세서1급",기타,,,,"교내 금융 동아리 3년, 학생회장단연합회 1년, 특성화고 권리 연합회 1년, 컴퓨터활용능력 2급, 전산회계1급, 전산세무2급, 전산회계운용사3급, 기업회계2급, 워드프로세서1급",,
2021 상반기,한국보훈복지의료공단,"연세대 미래캠 / 경영 / 학점 3.64/4.5 / 토익: 880, 토익스피킹: , 오픽: , 기타: HSK 6급 / 사회생활 경험: 공기업 인턴1회 / 한국사검정시험: 고급, 컴퓨터활용능력: 1급, 기타: 사회조사분석사 2급",연세대 미래캠,Top5,경영,경영경제,"TOEIC 880, 토익스피킹 , HSK 6급","한국사검정시험: 고급, 컴퓨터활용능력: 1급, 기타: 사회조사분석사 2급",사회생활 경험: 공기업 인턴1회,
2020 상반기,한국철도공사(코레일),경기대학교 / 학점 3.51 / 토익 810 / 토스 Lv6 / 한국토지주택공사 체험형 인턴 (2018하반기 약 5개월) / 교내 멘토링 동아리 - 약 1년 봉사활동(해외봉사 포함) - 약 350시간 / 컴퓨터활용능력 1급 / 워드프로세서 단일등급,경기대학교,지방대,학점 3.51,기타,TOEIC 810,컴퓨터활용능력 1급 / 워드프로세서 단일등급,한국토지주택공사 체험형 인턴 (2018하반기 약 5개월),토스 Lv6 / 교내 멘토링 동아리 - 약 1년 봉사활동(해외봉사 포함) - 약 350시간
2017 하반기,CJ 제일기획,"지방대 / 시각디자인학과 / 학점 3.6 / 중소기업 광고직 인턴 1회, 대기업H 광고직 인턴 1회, HSAD 은상 수상, DCA 동상 2회 수상, 부산 ADSTARS 파이널 3회소소한 공모전 수상 , 9개기업연계프로젝트 다수",지방대,지방대,시각디자인학과,예체능디자인,,,"중소기업 광고직 인턴 1회, 대기업H 광고직 인턴 1회, HSAD 은상 수상, DCA 동상 2회 수상, 부산 ADSTARS 파이널 3회소소한 공모전 수상 , 9개기업연계프로젝트 다수",
2020 상반기,GS리테일,지거국 / 통계학 / 학점 3.7/4.5 / 컴퓨터활용능력: 2급,지거국,지방대,통계학,IT컴퓨터,,컴퓨터활용능력: 2급,,
2019 상반기,우리은행,"서울 중위권 / 경제학과 (경영 복전) / 학점 4.13 / 토익 850 / 외국계 코스메틱 회사 인턴 (2개월), 아르바이트 (영화관, 샐러드 바, 대학교 입학처, 기업 사내지원팀)",서울 중위권,기타,경제학과 (경영 복전),경영경제,TOEIC 850,,"외국계 코스메틱 회사 인턴 (2개월), 아르바이트 (영화관, 샐러드 바, 대학교 입학처, 기업 사내지원팀)",
2022 하반기,KCC,"SKY / 보건환경융합과학 / 학점 3.9/4.5 / 토익: 850, 오픽: IM1, 기타: / 대외활동 3개 / 한국사검정시험: 고급, 컴퓨터활용능력: , 기타: 기사자격증 4개",SKY,기타,보건환경융합과학,자연과학,"TOEIC 850, OPIc IM1","한국사검정시험: 고급, 컴퓨터활용능력: , 기타: 기사자격증 4개",,대외활동 3개
2021 상반기,경남창조경제혁신센터,"지방사립대 / 국제의료경영학과 / 학점 2.71/4.5 / 토익: , 토익스피킹: , 오픽: IM1, 기타: / 사회생활 경험: / 대외활동 10회 / 한국사검정시험: , 컴퓨터활용능력: , 기타: CS강사자격증, BLS Provider",지방사립대,지방대,국제의료경영학과,경영경제,"OPIc IM1, 토익스피킹 ","한국사검정시험: , 컴퓨터활용능력: , 기타: CS강사자격증, BLS Provider",,사회생활 경험: / 대외활동 10회
2015 하반기,아이디스,아주대학교 / 전자공학과 / 학점 3.96 / 4.5 / 토익스피킹 130 / 한국과학기술연구원 로봇연구단 학부 연구생으로 근무,아주대학교,지방대,전자공학과,공학,토익스피킹 130 / 한국과학기술연구원 로봇연구단 학부 연구생으로 근무,,,4.5 / 한국과학기술연구원 로봇연구단 학부 연구생으로 근무
2024 하반기,포스코,서강대학교 / 컴퓨터공학과 / 학점 3.92 / 오픽 AL,서강대학교,인서울,컴퓨터공학과,공학,OPIc AL,,,
2019 하반기,강원도사회적경제지원센터,상지대학교 / 학점 3.50 / 컴퓨터활용능력 2급,상지대학교,지방대,학점 3.50,기타,,컴퓨터활용능력 2급,,
2018 하반기,LG전자,인하 / 항공우주공학 / 학점 3.38 / 토익 860,인하,기타,항공우주공학,공학,TOEIC 860,,,
2021 하반기,한국미세먼지연구소,"부산대학교 / 식물생명과학 / 학점 3.3 / 토익: , 토익스피킹: 130, 오픽: , 기타: / 사회생활 경험: 공기업인턴2개월 / 한국사검정시험: 고급, 컴퓨터활용능력: 1급, 기타:",부산대학교,지방대,식물생명과학,자연과학,토익스피킹 130,"한국사검정시험: 고급, 컴퓨터활용능력: 1급, 기타:",사회생활 경험: 공기업인턴2개월,
2022 상반기,LG화학,"고려대학교 / 기계공학부 / 학점 3.78 / 토익: 810, 오픽: IM2 / 교외클라이밍 동아리",고려대학교,Top5,기계공학부,공학,"TOEIC 810, OPIc IM2",,,교외클라이밍 동아리
2020 상반기,중소기업유통센터,"가톨릭대 / 학점 3.1 / 토익 850 / 컴퓨터활용능력1급, 워드프로세서1급, KBS한국어 3+, 한국사2급, 학생회 총무 1년, 대학연합문화기획팀 2년, 건설근로자공제회 체험형 인턴(2018하반기)",가톨릭대,지방대,학점 3.1,기타,TOEIC 850,"컴퓨터활용능력1급, 워드프로세서1급, KBS한국어 3+, 한국사2급, 학생회 총무 1년, 대학연합문화기획팀 2년, 건설근로자공제회 체험형 인턴(2018하반기)","컴퓨터활용능력1급, 워드프로세서1급, KBS한국어 3+, 한국사2급, 학생회 총무 1년, 대학연합문화기획팀 2년, 건설근로자공제회 체험형 인턴(2018하반기)",
2018 하반기,한솔테크닉스,"전북대학교 / 학점 3.95 / 토익 740, 토스 레벨 5 / 농촌진흥청 현장실습(2015 상반기), 일반기계기사",전북대학교,지방대,학점 3.95,기타,TOEIC 740,"농촌진흥청 현장실습(2015 상반기), 일반기계기사",,
2020 하반기,BD korea,"이화여대 / 융합보건학과 / 학점 4.17/4.5 / 토익: 830 / 보건복지부금연서포터즈 / 한국사검정시험: 고급, 컴퓨터활용능력: 1급, 기타: 보건의료정보관리사",이화여대,인서울,융합보건학과,의약보건간호,TOEIC 830,"한국사검정시험: 고급, 컴퓨터활용능력: 1급, 기타: 보건의료정보관리사",,보건복지부금연서포터즈
2020 하반기,퍼틸레인,"전북대 / 경영학과 / 학점 3.51/4.5 / 사회생활 경험: 대학언론협동조합 대표 5년 / 한국온라인광고협회 온라인광고 전문가 양성과정 / 한국사검정시험: 고급, 컴퓨터활용능력: 1급, 기타: 정보처리산업기사",전북대,지방대,경영학과,경영경제,,"한국사검정시험: 고급, 컴퓨터활용능력: 1급, 기타: 정보처리산업기사",,사회생활 경험: 대학언론협동조합 대표 5년 / 한국온라인광고협회 온라인광고 전문가 양성과정
2021 하반기,중소기업기술정보진흥원,"지거국 / 기계공학 / 학점 2.6/4.5 / 토익: 710, 토익스피킹: , 오픽: , 기타: / 사회생활 경험: 부산대학병원 자료입력 아르바이트, lh부산지사 사무보조 파견계약직 / 한국사검정시험: , 컴퓨터활용능력: 2급, 기타:",지거국,지방대,기계공학,공학,"TOEIC 710, 토익스피킹 ","한국사검정시험: , 컴퓨터활용능력: 2급, 기타:",,"사회생활 경험: 부산대학병원 자료입력 아르바이트, lh부산지사 사무보조 파견계약직"
2019 상반기,CJ푸드빌,Pennsylvania State Uni. / 국제정치학 / 학점 3.25/4.0 / 토익 880,Pennsylvania State Uni.,기타,국제정치학,사회과학,TOEIC 880,,,
2017 하반기,기아,"SKY / 어문 / 학점 3.7 / 토익 990, HSK 6급 / 인턴, 대외활동, 봉사활동 경험 등 다수",SKY,기타,어문,인문어문,"TOEIC 990, HSK 6급",,"인턴, 대외활동, 봉사활동 경험 등 다수",
2016 상반기,SK하이닉스,"고려대학교 / 경영학과 / 학점 4.05 / 토익 960 / 포스코 인턴쉽, 증권분석대회 우승",고려대학교,Top5,경영학과,경영경제,TOEIC 960,,"포스코 인턴쉽, 증권분석대회 우승",
2020 하반기,녹십자 헬스케어,국민대 / 융합기계공학 / 학점 3.12 / 오픽: IH / 사회생활 경험: 메르세데스-벤츠 인턴 6개월 / 교내 자율주행로봇 금상 / 국방과학기술 창업경진대회 동상 / 기타: Excel 2010 Expert,국민대,인서울,융합기계공학,공학,OPIc IH,기타: Excel 2010 Expert,사회생활 경험: 메르세데스-벤츠 인턴 6개월,교내 자율주행로봇 금상 / 국방과학기술 창업경진대회 동상
2021 상반기,바운쎌코리아,"대구가톨릭대학교 / 식품생명제약공학부 / 학점 3.34 / 토익: , 토익스피킹: , 오픽: , 기타: / 사회생활 경험: 실습 / LINC+사업단 / 한국사검정시험: , 컴퓨터활용능력: , 기타:",대구가톨릭대학교,지방대,식품생명제약공학부,공학,토익스피킹 ,"한국사검정시험: , 컴퓨터활용능력: , 기타:",,사회생활 경험: 실습 / LINC+사업단
2020 하반기,코웨이,국숭세단 / 문화인류학 / 학점 3.85/4.5 / 오픽: IH / 사회생활 경험: 이노비즈협회 인턴 5개월,국숭세단,인서울,문화인류학,기타,OPIc IH,,사회생활 경험: 이노비즈협회 인턴 5개월,
2018 상반기,대한항공,"지거국 / 경제 / 학점 3초반 / 토익 870 , 토익 스피킹레벨6",지거국,지방대,경제,경영경제,TOEIC 870,,,
2020 상반기,sk가스,서성한 / 토목공학 / 학점 3.67/4.5 / 토익스피킹: 150/6 / 기타: 대기환경기사,서성한,인서울,토목공학,공학,토익스피킹 150/6,기타: 대기환경기사,,
2020 상반기,한국장학재단,"중경외시 / 국제물류학과 / 학점 3.0 / 토익: 985, 오픽: AL",중경외시,인서울,국제물류학과,기타,"TOEIC 985, OPIc AL",,,
2015 하반기,모두투어,인서울 / 영화연출 / 학점 3.7 / 토익 810 / 해외봉사 1회,인서울,인서울,영화연출,기타,TOEIC 810,,,해외봉사 1회
2020 하반기,서울교통공사,"인천대 / 환경공학 / 학점 3.58 / 토익: 770 / 사회생활 경험: 한국환경공단 인턴 4개월 / 한국사검정시험: 고급, 컴퓨터활용능력: 1급",인천대,지방대,환경공학,공학,TOEIC 770,"한국사검정시험: 고급, 컴퓨터활용능력: 1급",사회생활 경험: 한국환경공단 인턴 4개월,
