원본행,기간,회사,직무,zeroshot_input,직무_대분류,직무_중분류,직무_소분류,분류확신도,검토메모,링크
6165,2020 상반기,현대카드,기획,"회사: 현대카드 | 직무: 기획 | 유형: 인턴, 대기업",경영·사무,기획,"사업기획, 전략기획",중,,https://linkareer.com/cover-letter/26072?page=312&sort=RECENT_SCRAP_COUNT&tab=all
6166,2020 상반기,충남대병원,일반행정,"회사: 충남대병원 | 직무: 일반행정 | 유형: 신입, 공기업",공공·행정,공공행정,"공공기관, 정책, 일반행정",상,,https://linkareer.com/cover-letter/26061?page=312&sort=RECENT_SCRAP_COUNT&tab=all
6167,2021 상반기,동양생명보험,자산운용,"회사: 동양생명보험 | 직무: 자산운용 | 유형: 중견기업, 신입",경영·사무,총무,"자산관리, 문서관리",중,,https://linkareer.com/cover-letter/28712?page=312&sort=RECENT_SCRAP_COUNT&tab=all
6168,2020 하반기,킨텍스,사무전문직(5직급),"회사: 킨텍스 | 직무: 사무전문직(5직급) | 유형: 신입, 공기업",경영·사무,총무,"자산관리, 문서관리",중,,https://linkareer.com/cover-letter/25321?page=312&sort=RECENT_SCRAP_COUNT&tab=all
6169,2022 하반기,HD현대로보틱스,기구설계,"회사: HD현대로보틱스 | 직무: 기구설계 | 유형: 신입, 대기업",연구개발,연구원,신기술 연구,중,,https://linkareer.com/cover-letter/33403?page=312&sort=RECENT_SCRAP_COUNT&tab=all
6170,2017 하반기,KT estate,부동산개발,회사: KT estate | 직무: 부동산개발 | 유형: -,IT·개발,백엔드 개발,"Java, Spring, Node.js, Python, API 개발",중,,https://linkareer.com/cover-letter/19250?page=312&sort=RECENT_SCRAP_COUNT&tab=all
6171,2021 상반기,서울교통공사,일반전형 궤도-토목,"회사: 서울교통공사 | 직무: 일반전형 궤도-토목 | 유형: 공기업, 신입",기타,일반·미분류,"일반직, 인턴, 직무 미상",상,,https://linkareer.com/cover-letter/29028?page=312&sort=RECENT_SCRAP_COUNT&tab=all
6172,2018 상반기,현대자동차,연구 개발(재료),회사: 현대자동차 | 직무: 연구 개발(재료) | 유형: -,IT·개발,백엔드 개발,"Java, Spring, Node.js, Python, API 개발",중,,https://linkareer.com/cover-letter/18996?page=312&sort=RECENT_SCRAP_COUNT&tab=all
6173,2020 상반기,부산교통공사,전기직,"회사: 부산교통공사 | 직무: 전기직 | 유형: 신입, 공기업",연구개발,전기·전자·반도체,"전기, 전자, 반도체, 회로, 소자",중,,https://linkareer.com/cover-letter/24738?page=313&sort=RECENT_SCRAP_COUNT&tab=all
6174,2017 상반기,삼성물산 패션,마케팅,회사: 삼성물산 패션 | 직무: 마케팅 | 유형: 대기업,마케팅·광고,브랜드 마케팅,"브랜드 전략, 캠페인",중,,https://linkareer.com/cover-letter/17655?page=313&sort=RECENT_SCRAP_COUNT&tab=all
6175,2021 상반기,한국보훈복지의료공단,사무직,"회사: 한국보훈복지의료공단 | 직무: 사무직 | 유형: 공기업, 신입",경영·사무,총무,"자산관리, 문서관리",중,,https://linkareer.com/cover-letter/28310?page=313&sort=RECENT_SCRAP_COUNT&tab=all
6176,2019 상반기,LF,재무,회사: LF | 직무: 재무 | 유형: 인턴,경영·사무,재무·회계,"회계, 세무, 재무관리",중,,https://linkareer.com/cover-letter/24132?page=313&sort=RECENT_SCRAP_COUNT&tab=all
6177,2021 하반기,엠케이에스코리아(유),Repair Technician / Service Support Tech 1,"회사: 엠케이에스코리아(유) | 직무: Repair Technician / Service Support Tech 1 | 유형: 중견기업, 신입",IT·개발,AI·머신러닝,"머신러닝, 딥러닝, 생성형 AI",중,,https://linkareer.com/cover-letter/30127?page=313&sort=RECENT_SCRAP_COUNT&tab=all
6178,2015 하반기,CJ 대한통운,재무/회계,회사: CJ 대한통운 | 직무: 재무/회계 | 유형: 대기업,경영·사무,재무·회계,"회계, 세무, 재무관리",상,,https://linkareer.com/cover-letter/20646?page=313&sort=RECENT_SCRAP_COUNT&tab=all
6179,2019 상반기,롯데케미칼,-,회사: 롯데케미칼 | 직무: - | 유형: 대기업,기타,일반·미분류,"일반직, 인턴, 직무 미상",중,,https://linkareer.com/cover-letter/17477?page=313&sort=RECENT_SCRAP_COUNT&tab=all
6180,2021 상반기,국민건강보험공단,대졸신입,"회사: 국민건강보험공단 | 직무: 대졸신입 | 유형: 공기업, 신입",금융,금융일반,"은행, 증권, 보험, 카드, 여신",중,,https://linkareer.com/cover-letter/28528?page=313&sort=RECENT_SCRAP_COUNT&tab=all
6181,2019 하반기,LG화학,전지본부 생산기술,회사: LG화학 | 직무: 전지본부 생산기술 | 유형: 대기업,생산·품질,생산관리,제조 운영,상,,https://linkareer.com/cover-letter/13373?page=313&sort=RECENT_SCRAP_COUNT&tab=all
6182,2018 하반기,신세계푸드,-,회사: 신세계푸드 | 직무: - | 유형: 대기업,기타,일반·미분류,"일반직, 인턴, 직무 미상",중,,https://linkareer.com/cover-letter/17549?page=313&sort=RECENT_SCRAP_COUNT&tab=all
6183,2018 하반기,삼성 바이오로직스,공정,회사: 삼성 바이오로직스 | 직무: 공정 | 유형: 대기업,생산·품질,생산관리,제조 운영,중,,https://linkareer.com/cover-letter/19858?page=313&sort=RECENT_SCRAP_COUNT&tab=all
6184,2022 하반기,LG에너지솔루션,공정기술,"회사: LG에너지솔루션 | 직무: 공정기술 | 유형: 인턴, 대기업",생산·품질,생산관리,제조 운영,중,,https://linkareer.com/cover-letter/33544?page=313&sort=RECENT_SCRAP_COUNT&tab=all
6185,2022 상반기,에이제이테크,R&D,"회사: 에이제이테크 | 직무: R&D | 유형: 중소기업/스타트업, 신입",연구개발,연구원,신기술 연구,중,,https://linkareer.com/cover-letter/29886?page=313&sort=RECENT_SCRAP_COUNT&tab=all
6186,2021 상반기,한국지능정보사회지능원,데이터 분석 및 운영 청년인턴,회사: 한국지능정보사회지능원 | 직무: 데이터 분석 및 운영 청년인턴 | 유형: -,IT·개발,데이터 분석,"데이터 분석가, BI, 통계 분석",상,,https://linkareer.com/cover-letter/28755?page=313&sort=RECENT_SCRAP_COUNT&tab=all
6187,2019 하반기,국민건강보험공단,행정,회사: 국민건강보험공단 | 직무: 행정 | 유형: 공기업,공공·행정,공공행정,"공공기관, 정책, 일반행정",상,,https://linkareer.com/cover-letter/24003?page=313&sort=RECENT_SCRAP_COUNT&tab=all
6188,2014 상반기,SK하이닉스,메인트,회사: SK하이닉스 | 직무: 메인트 | 유형: 대기업,기타,일반·미분류,"일반직, 인턴, 직무 미상",하,키워드 미매칭,https://linkareer.com/cover-letter/12291?page=313&sort=RECENT_SCRAP_COUNT&tab=all
6189,2023 하반기,대한항공,항공기술,"회사: 대한항공 | 직무: 항공기술 | 유형: 대기업, 신입",연구개발,기계·항공,"기계, 항공우주, 기구",상,,https://linkareer.com/cover-letter/34659?page=313&sort=RECENT_SCRAP_COUNT&tab=all
6190,2020 하반기,한국소방산업기술원,시험검사-화공,"회사: 한국소방산업기술원 | 직무: 시험검사-화공 | 유형: 신입, 공기업",공공·행정,공공행정,"공공기관, 정책, 일반행정",중,,https://linkareer.com/cover-letter/25179?page=313&sort=RECENT_SCRAP_COUNT&tab=all
6191,2021 상반기,세아베스틸,R&D,"회사: 세아베스틸 | 직무: R&D | 유형: 중견기업, 신입",연구개발,연구원,신기술 연구,중,,https://linkareer.com/cover-letter/29862?page=313&sort=RECENT_SCRAP_COUNT&tab=all
6192,2021 상반기,한국장애인고용공단,고졸 사무직 7급,"회사: 한국장애인고용공단 | 직무: 고졸 사무직 7급 | 유형: 공기업, 인턴",경영·사무,총무,"자산관리, 문서관리",중,,https://linkareer.com/cover-letter/28337?page=313&sort=RECENT_SCRAP_COUNT&tab=all
6193,2019 하반기,동원시스템즈,생산관리,회사: 동원시스템즈 | 직무: 생산관리 | 유형: 대기업,생산·품질,생산관리,제조 운영,상,,https://linkareer.com/cover-letter/19935?page=314&sort=RECENT_SCRAP_COUNT&tab=all
6194,2021 상반기,티에스이(주),소켓설계,"회사: 티에스이(주) | 직무: 소켓설계 | 유형: 중견기업, 인턴",연구개발,연구원,신기술 연구,중,,https://linkareer.com/cover-letter/28613?page=314&sort=RECENT_SCRAP_COUNT&tab=all
6195,2019 하반기,태광산업,설비팀(공무),회사: 태광산업 | 직무: 설비팀(공무) | 유형: -,생산·품질,생산관리,제조 운영,중,,https://linkareer.com/cover-letter/23972?page=314&sort=RECENT_SCRAP_COUNT&tab=all
6196,2017 상반기,제일기획,경영지원(재무),회사: 제일기획 | 직무: 경영지원(재무) | 유형: 대기업,경영·사무,기획,"사업기획, 전략기획",중,,https://linkareer.com/cover-letter/17943?page=314&sort=RECENT_SCRAP_COUNT&tab=all
6197,2024 하반기,GS건설,계장설계,"회사: GS건설 | 직무: 계장설계 | 유형: 대기업, 신입",연구개발,연구원,신기술 연구,중,,https://linkareer.com/cover-letter/36088?page=314&sort=RECENT_SCRAP_COUNT&tab=all
6198,2020 하반기,행정안전부,공공데이터 청년 인턴,"회사: 행정안전부 | 직무: 공공데이터 청년 인턴 | 유형: 인턴, 기타",공공·행정,공공행정,"공공기관, 정책, 일반행정",상,,https://linkareer.com/cover-letter/26023?page=314&sort=RECENT_SCRAP_COUNT&tab=all
6199,2021 하반기,한국사회보장정보원,(정규직)전산직_6급갑_청년,"회사: 한국사회보장정보원 | 직무: (정규직)전산직_6급갑_청년 | 유형: PUBLIC_INSTITUTIONS, 신입",기타,일반·미분류,"일반직, 인턴, 직무 미상",하,키워드 미매칭,https://linkareer.com/cover-letter/30306?page=314&sort=RECENT_SCRAP_COUNT&tab=all
6200,2020 하반기,테이블매니저,뉴노멀 광고인재,"회사: 테이블매니저 | 직무: 뉴노멀 광고인재 | 유형: 인턴, 중소기업/스타트업",서비스,매장·현장 서비스,"현장 운영, 서비스 관리",중,,https://linkareer.com/cover-letter/25157?page=314&sort=RECENT_SCRAP_COUNT&tab=all
6201,2015 하반기,마이다스아이티,사업기획,회사: 마이다스아이티 | 직무: 사업기획 | 유형: -,경영·사무,기획,"사업기획, 전략기획",상,,https://linkareer.com/cover-letter/16255?page=314&sort=RECENT_SCRAP_COUNT&tab=all
6202,2020 하반기,IBK기업은행,지역인재 전형,"회사: IBK기업은행 | 직무: 지역인재 전형 | 유형: 신입, 은행권",금융,금융일반,"은행, 증권, 보험, 카드, 여신",중,,https://linkareer.com/cover-letter/25590?page=314&sort=RECENT_SCRAP_COUNT&tab=all
6203,2020 하반기,대구시설공단,사무직(경영지원),"회사: 대구시설공단 | 직무: 사무직(경영지원) | 유형: 신입, 공기업",경영·사무,총무,"자산관리, 문서관리",상,,https://linkareer.com/cover-letter/24996?page=314&sort=RECENT_SCRAP_COUNT&tab=all
6204,2020 상반기,한국교통안전공단,주차장 검사(기계),"회사: 한국교통안전공단 | 직무: 주차장 검사(기계) | 유형: 인턴, 공기업",연구개발,기계·항공,"기계, 항공우주, 기구",중,,https://linkareer.com/cover-letter/26281?page=314&sort=RECENT_SCRAP_COUNT&tab=all
6205,2024 상반기,국민건강보험공단,일반공개경쟁_(광주전라제주) 전남_화순군,"회사: 국민건강보험공단 | 직무: 일반공개경쟁_(광주전라제주) 전남_화순군 | 유형: 인턴, 공기업",금융,금융일반,"은행, 증권, 보험, 카드, 여신",중,,https://linkareer.com/cover-letter/34571?page=314&sort=RECENT_SCRAP_COUNT&tab=all
6206,2021 상반기,한국농어촌공사,7급 무기계약직,"회사: 한국농어촌공사 | 직무: 7급 무기계약직 | 유형: 신입, 공기업",연구개발,기계·항공,"기계, 항공우주, 기구",중,,https://linkareer.com/cover-letter/28833?page=314&sort=RECENT_SCRAP_COUNT&tab=all
6207,2020 상반기,한샘,인사,"회사: 한샘 | 직무: 인사 | 유형: 신입, 중견기업",경영·사무,인사,"채용, 교육, 조직관리",중,,https://linkareer.com/cover-letter/25468?page=314&sort=RECENT_SCRAP_COUNT&tab=all
6208,2018 하반기,코오롱글로벌,상사(해외영업),회사: 코오롱글로벌 | 직무: 상사(해외영업) | 유형: 대기업,영업·고객관리,B2B 영업,기업영업,상,,https://linkareer.com/cover-letter/23236?page=314&sort=RECENT_SCRAP_COUNT&tab=all
6209,2015 상반기,동아지질,토목시공,회사: 동아지질 | 직무: 토목시공 | 유형: -,건설·환경,건축·토목,"건축, 토목, 플랜트, BIM",상,,https://linkareer.com/cover-letter/20228?page=314&sort=RECENT_SCRAP_COUNT&tab=all
6210,2021 상반기,LG디스플레이,panel 공정,"회사: LG디스플레이 | 직무: panel 공정 | 유형: 대기업, 신입",생산·품질,생산관리,제조 운영,중,,https://linkareer.com/cover-letter/30119?page=314&sort=RECENT_SCRAP_COUNT&tab=all
6211,2020 상반기,여수광양항만공사,행정,"회사: 여수광양항만공사 | 직무: 행정 | 유형: 신입, 공기업",공공·행정,공공행정,"공공기관, 정책, 일반행정",상,,https://linkareer.com/cover-letter/26298?page=314&sort=RECENT_SCRAP_COUNT&tab=all
6212,2020 하반기,서울교통공사,사무,"회사: 서울교통공사 | 직무: 사무 | 유형: 신입, 공기업",경영·사무,총무,"자산관리, 문서관리",중,,https://linkareer.com/cover-letter/25367?page=315&sort=RECENT_SCRAP_COUNT&tab=all
6213,2018 하반기,서울시설공단,상수도직,회사: 서울시설공단 | 직무: 상수도직 | 유형: 공기업,공공·행정,공공행정,"공공기관, 정책, 일반행정",중,,https://linkareer.com/cover-letter/24526?page=315&sort=RECENT_SCRAP_COUNT&tab=all
6214,2020 하반기,서울시설공단,기계직,"회사: 서울시설공단 | 직무: 기계직 | 유형: 신입, 공기업",연구개발,기계·항공,"기계, 항공우주, 기구",중,,https://linkareer.com/cover-letter/25541?page=315&sort=RECENT_SCRAP_COUNT&tab=all
6215,2022 하반기,한국과학창의재단,체험형 청년인턴직,"회사: 한국과학창의재단 | 직무: 체험형 청년인턴직 | 유형: 인턴, 공기업",공공·행정,공공행정,"공공기관, 정책, 일반행정",중,,https://linkareer.com/cover-letter/33039?page=315&sort=RECENT_SCRAP_COUNT&tab=all
6216,2019 하반기,한국가스공사,안전관리,회사: 한국가스공사 | 직무: 안전관리 | 유형: 공기업,엔지니어링,안전·환경,"안전관리, 환경관리, 공무",상,,https://linkareer.com/cover-letter/24185?page=315&sort=RECENT_SCRAP_COUNT&tab=all
6217,2022 상반기,한국영상자료원,국내외 자료서비스 및 저작권 정보관리,"회사: 한국영상자료원 | 직무: 국내외 자료서비스 및 저작권 정보관리 | 유형: 공기업, 신입",디자인,영상 디자인,"영상 편집, 모션그래픽",중,,https://linkareer.com/cover-letter/31538?page=315&sort=RECENT_SCRAP_COUNT&tab=all
6218,2020 상반기,대전신용보증재단,6급 신입직원,회사: 대전신용보증재단 | 직무: 6급 신입직원 | 유형: 공기업,공공·행정,공공행정,"공공기관, 정책, 일반행정",중,,https://linkareer.com/cover-letter/24500?page=315&sort=RECENT_SCRAP_COUNT&tab=all
6219,2018 상반기,한국산업인력공단,사무,회사: 한국산업인력공단 | 직무: 사무 | 유형: 공기업,경영·사무,총무,"자산관리, 문서관리",중,,https://linkareer.com/cover-letter/24229?page=315&sort=RECENT_SCRAP_COUNT&tab=all
6220,2022 상반기,삼성전자,DX 부문 - SW개발,"회사: 삼성전자 | 직무: DX 부문 - SW개발 | 유형: 인턴, 대기업",IT·개발,백엔드 개발,"Java, Spring, Node.js, Python, API 개발",상,,https://linkareer.com/cover-letter/33405?page=315&sort=RECENT_SCRAP_COUNT&tab=all
6221,2019 상반기,롯데쇼핑,-,회사: 롯데쇼핑 | 직무: - | 유형: -,기타,일반·미분류,"일반직, 인턴, 직무 미상",중,,https://linkareer.com/cover-letter/19266?page=315&sort=RECENT_SCRAP_COUNT&tab=all
6222,2020 상반기,강원도개발공사,건축,회사: 강원도개발공사 | 직무: 건축 | 유형: 공기업,IT·개발,백엔드 개발,"Java, Spring, Node.js, Python, API 개발",중,,https://linkareer.com/cover-letter/24400?page=315&sort=RECENT_SCRAP_COUNT&tab=all
6223,2016 하반기,한화생명,IT,회사: 한화생명 | 직무: IT | 유형: ,기타,일반·미분류,"일반직, 인턴, 직무 미상",하,키워드 미매칭,https://linkareer.com/cover-letter/18837?page=315&sort=RECENT_SCRAP_COUNT&tab=all
6224,2022 하반기,티웨이항공,객실승무원,"회사: 티웨이항공 | 직무: 객실승무원 | 유형: 인턴, 중견기업",서비스,항공·운송 서비스,"객실승무원, 운송 서비스",상,,https://linkareer.com/cover-letter/33788?page=315&sort=RECENT_SCRAP_COUNT&tab=all
6225,2021 상반기,한국수자원공사,건축,"회사: 한국수자원공사 | 직무: 건축 | 유형: 공기업, 신입",건설·환경,건축·토목,"건축, 토목, 플랜트, BIM",중,,https://linkareer.com/cover-letter/31221?page=315&sort=RECENT_SCRAP_COUNT&tab=all
6226,2018 하반기,현대제철,R&D,회사: 현대제철 | 직무: R&D | 유형: -,연구개발,연구원,신기술 연구,중,,https://linkareer.com/cover-letter/18344?page=315&sort=RECENT_SCRAP_COUNT&tab=all
6227,2019 하반기,SK이노베이션,배터리_생산기술,회사: SK이노베이션 | 직무: 배터리_생산기술 | 유형: 대기업,생산·품질,생산관리,제조 운영,상,,https://linkareer.com/cover-letter/24428?page=315&sort=RECENT_SCRAP_COUNT&tab=all
6228,2018 하반기,한국주택금융공사,행정,회사: 한국주택금융공사 | 직무: 행정 | 유형: 공기업,공공·행정,공공행정,"공공기관, 정책, 일반행정",상,,https://linkareer.com/cover-letter/23623?page=315&sort=RECENT_SCRAP_COUNT&tab=all
6229,2018 상반기,삼성물산 리조트,영업마케팅,회사: 삼성물산 리조트 | 직무: 영업마케팅 | 유형: 대기업,마케팅·광고,브랜드 마케팅,"브랜드 전략, 캠페인",중,,https://linkareer.com/cover-letter/23462?page=315&sort=RECENT_SCRAP_COUNT&tab=all
6230,2021 상반기,유영제약,제약영업,"회사: 유영제약 | 직무: 제약영업 | 유형: 중견기업, 신입",영업·고객관리,B2B 영업,기업영업,중,,https://linkareer.com/cover-letter/31263?page=315&sort=RECENT_SCRAP_COUNT&tab=all
6231,2021 상반기,국립공원공단,자원조사 6급,"회사: 국립공원공단 | 직무: 자원조사 6급 | 유형: 공기업, 신입",공공·행정,공공행정,"공공기관, 정책, 일반행정",중,,https://linkareer.com/cover-letter/28599?page=315&sort=RECENT_SCRAP_COUNT&tab=all
6232,2020 하반기,KT,Biz영업,"회사: KT | 직무: Biz영업 | 유형: 신입, 대기업",IT·개발,데이터 분석,"데이터 분석가, BI, 통계 분석",중,,https://linkareer.com/cover-letter/24903?page=316&sort=RECENT_SCRAP_COUNT&tab=all
6233,2018 하반기,포스코,설비,회사: 포스코 | 직무: 설비 | 유형: 대기업,생산·품질,생산관리,제조 운영,중,,https://linkareer.com/cover-letter/23127?page=316&sort=RECENT_SCRAP_COUNT&tab=all
6234,2020 상반기,삼성웰스토리,식자재유통 영업,"회사: 삼성웰스토리 | 직무: 식자재유통 영업 | 유형: 신입, 대기업",영업·고객관리,B2C 영업,일반 소비자 영업,상,,https://linkareer.com/cover-letter/25015?page=316&sort=RECENT_SCRAP_COUNT&tab=all
6235,2020 하반기,포항공대,교직원(기계),"회사: 포항공대 | 직무: 교직원(기계) | 유형: 신입, 기타",연구개발,기계·항공,"기계, 항공우주, 기구",상,,https://linkareer.com/cover-letter/25520?page=316&sort=RECENT_SCRAP_COUNT&tab=all
6236,2020 하반기,에스티오,지원/관리부문 인사직무,"회사: 에스티오 | 직무: 지원/관리부문 인사직무 | 유형: 중소기업/스타트업, 신입",경영·사무,인사,"채용, 교육, 조직관리",중,,https://linkareer.com/cover-letter/28377?page=316&sort=RECENT_SCRAP_COUNT&tab=all
6237,2020 상반기,국립항공박물관,안전관리,"회사: 국립항공박물관 | 직무: 안전관리 | 유형: 신입, 공기업",엔지니어링,안전·환경,"안전관리, 환경관리, 공무",상,,https://linkareer.com/cover-letter/26086?page=316&sort=RECENT_SCRAP_COUNT&tab=all
6238,2021 상반기,서울교통공사,통신,"회사: 서울교통공사 | 직무: 통신 | 유형: 공기업, 신입",공공·행정,공공행정,"공공기관, 정책, 일반행정",중,,https://linkareer.com/cover-letter/30023?page=316&sort=RECENT_SCRAP_COUNT&tab=all
6239,2018 하반기,LG화학,환경안전,회사: LG화학 | 직무: 환경안전 | 유형: 대기업,엔지니어링,안전·환경,"안전관리, 환경관리, 공무",상,,https://linkareer.com/cover-letter/11837?page=316&sort=RECENT_SCRAP_COUNT&tab=all
6240,2020 하반기,한국동서발전,전기,"회사: 한국동서발전 | 직무: 전기 | 유형: 신입, 공기업",연구개발,전기·전자·반도체,"전기, 전자, 반도체, 회로, 소자",중,,https://linkareer.com/cover-letter/26417?page=316&sort=RECENT_SCRAP_COUNT&tab=all
6241,2020 하반기,GS리테일,영업관리,"회사: GS리테일 | 직무: 영업관리 | 유형: 신입, 대기업",영업·고객관리,B2C 영업,일반 소비자 영업,상,,https://linkareer.com/cover-letter/25456?page=316&sort=RECENT_SCRAP_COUNT&tab=all
6242,2021 상반기,한국토지주택공사,도시재생 청년인턴십,"회사: 한국토지주택공사 | 직무: 도시재생 청년인턴십 | 유형: 공기업, 인턴",공공·행정,공공행정,"공공기관, 정책, 일반행정",중,,https://linkareer.com/cover-letter/28294?page=316&sort=RECENT_SCRAP_COUNT&tab=all
6243,2016 하반기,아모레퍼시픽,마케팅,회사: 아모레퍼시픽 | 직무: 마케팅 | 유형: -,마케팅·광고,브랜드 마케팅,"브랜드 전략, 캠페인",중,,https://linkareer.com/cover-letter/19352?page=316&sort=RECENT_SCRAP_COUNT&tab=all
6244,2020 하반기,홈플러스 익스프레스,점포영업,"회사: 홈플러스 익스프레스 | 직무: 점포영업 | 유형: 인턴, 대기업",영업·고객관리,B2B 영업,기업영업,중,,https://linkareer.com/cover-letter/24945?page=316&sort=RECENT_SCRAP_COUNT&tab=all
6245,2022 하반기,현대글로벌서비스,영업,"회사: 현대글로벌서비스 | 직무: 영업 | 유형: 대기업, 신입",영업·고객관리,B2B 영업,기업영업,중,,https://linkareer.com/cover-letter/32692?page=316&sort=RECENT_SCRAP_COUNT&tab=all
6246,2018 하반기,BC카드,CRM,회사: BC카드 | 직무: CRM | 유형: 대기업,마케팅·광고,디지털 마케팅,"SNS, 퍼포먼스 마케팅",중,,https://linkareer.com/cover-letter/23375?page=316&sort=RECENT_SCRAP_COUNT&tab=all
6247,2018 하반기,코오롱글로벌,"건설, 국내영업","회사: 코오롱글로벌 | 직무: 건설, 국내영업 | 유형: 대기업",영업·고객관리,B2B 영업,기업영업,중,,https://linkareer.com/cover-letter/11757?page=316&sort=RECENT_SCRAP_COUNT&tab=all
6248,2019 상반기,KT,영업관리,회사: KT | 직무: 영업관리 | 유형: 대기업,영업·고객관리,B2B 영업,기업영업,중,,https://linkareer.com/cover-letter/24586?page=316&sort=RECENT_SCRAP_COUNT&tab=all
6249,2024 하반기,포스코,생산기술 (포항/광양),"회사: 포스코 | 직무: 생산기술 (포항/광양) | 유형: 대기업, 신입",생산·품질,생산관리,제조 운영,상,,https://linkareer.com/cover-letter/35471?page=316&sort=RECENT_SCRAP_COUNT&tab=all
6250,2021 상반기,국민건강보험공단,행정직,"회사: 국민건강보험공단 | 직무: 행정직 | 유형: 공기업, 신입",공공·행정,공공행정,"공공기관, 정책, 일반행정",상,,https://linkareer.com/cover-letter/28395?page=316&sort=RECENT_SCRAP_COUNT&tab=all
6251,2020 하반기,한국철도공사(코레일),건축,"회사: 한국철도공사(코레일) | 직무: 건축 | 유형: 신입, 공기업",건설·환경,건축·토목,"건축, 토목, 플랜트, BIM",중,,https://linkareer.com/cover-letter/24854?page=316&sort=RECENT_SCRAP_COUNT&tab=all
6252,2017 하반기,삼성카드,재무,회사: 삼성카드 | 직무: 재무 | 유형: 대기업,경영·사무,재무·회계,"회계, 세무, 재무관리",중,,https://linkareer.com/cover-letter/12551?page=317&sort=RECENT_SCRAP_COUNT&tab=all
6253,2016 상반기,현대글로비스,해운물류,회사: 현대글로비스 | 직무: 해운물류 | 유형: -,물류·구매,SCM·물류,"공급망, 물류운영",중,,https://linkareer.com/cover-letter/19495?page=317&sort=RECENT_SCRAP_COUNT&tab=all
6254,2024 하반기,삼성전자,DS부문_S/W개발,"회사: 삼성전자 | 직무: DS부문_S/W개발 | 유형: 대기업, 신입",연구개발,전기·전자·반도체,"전기, 전자, 반도체, 회로, 소자",상,,https://linkareer.com/cover-letter/36315?page=317&sort=RECENT_SCRAP_COUNT&tab=all
6255,2021 상반기,서울교통공사,기술 및 보안요원,"회사: 서울교통공사 | 직무: 기술 및 보안요원 | 유형: 공기업, 신입",IT·개발,보안,"정보보안, 모의해킹, 보안관제",중,,https://linkareer.com/cover-letter/28505?page=317&sort=RECENT_SCRAP_COUNT&tab=all
6256,2020 상반기,CJ제일제당,Electronic Engineering,"회사: CJ제일제당 | 직무: Electronic Engineering | 유형: 신입, 대기업",기타,일반·미분류,"일반직, 인턴, 직무 미상",하,키워드 미매칭,https://linkareer.com/cover-letter/25997?page=317&sort=RECENT_SCRAP_COUNT&tab=all
6257,2017 상반기,삼성물산 상사부문,해외영업,회사: 삼성물산 상사부문 | 직무: 해외영업 | 유형: 대기업,영업·고객관리,B2B 영업,기업영업,상,,https://linkareer.com/cover-letter/21045?page=317&sort=RECENT_SCRAP_COUNT&tab=all
6258,2016 하반기,대한항공,지상직,회사: 대한항공 | 직무: 지상직 | 유형: -,연구개발,기계·항공,"기계, 항공우주, 기구",중,,https://linkareer.com/cover-letter/19155?page=317&sort=RECENT_SCRAP_COUNT&tab=all
6259,2018 상반기,삼성물산 패션부문,상품기획/마케팅,회사: 삼성물산 패션부문 | 직무: 상품기획/마케팅 | 유형: 대기업,경영·사무,기획,"사업기획, 전략기획",중,,https://linkareer.com/cover-letter/22019?page=317&sort=RECENT_SCRAP_COUNT&tab=all
6260,2020 상반기,와디즈,리워드프로젝트영업(PD),"회사: 와디즈 | 직무: 리워드프로젝트영업(PD) | 유형: 신입, 중소기업/스타트업",영업·고객관리,B2B 영업,기업영업,중,,https://linkareer.com/cover-letter/25695?page=317&sort=RECENT_SCRAP_COUNT&tab=all
6261,2016 상반기,에스원,첨단보안직,회사: 에스원 | 직무: 첨단보안직 | 유형: -,IT·개발,보안,"정보보안, 모의해킹, 보안관제",중,,https://linkareer.com/cover-letter/19513?page=317&sort=RECENT_SCRAP_COUNT&tab=all
6262,2020 하반기,서울시설공단,전기 7급,"회사: 서울시설공단 | 직무: 전기 7급 | 유형: 신입, 공기업",연구개발,전기·전자·반도체,"전기, 전자, 반도체, 회로, 소자",중,,https://linkareer.com/cover-letter/26314?page=317&sort=RECENT_SCRAP_COUNT&tab=all
6263,2014 하반기,아시아나항공,국제선 캐빈승무원,회사: 아시아나항공 | 직무: 국제선 캐빈승무원 | 유형: 대기업,연구개발,기계·항공,"기계, 항공우주, 기구",중,,https://linkareer.com/cover-letter/17112?page=317&sort=RECENT_SCRAP_COUNT&tab=all
6264,2020 하반기,한국가스안전공사,5급 기술,"회사: 한국가스안전공사 | 직무: 5급 기술 | 유형: 신입, 공기업",엔지니어링,안전·환경,"안전관리, 환경관리, 공무",중,,https://linkareer.com/cover-letter/25425?page=317&sort=RECENT_SCRAP_COUNT&tab=all
6265,2021 상반기,SK텔레콤,5G / MEC 기술 개발,"회사: SK텔레콤 | 직무: 5G / MEC 기술 개발 | 유형: 대기업, 신입",IT·개발,백엔드 개발,"Java, Spring, Node.js, Python, API 개발",중,,https://linkareer.com/cover-letter/28943?page=317&sort=RECENT_SCRAP_COUNT&tab=all
6266,2018 하반기,LG화학,생산기술,회사: LG화학 | 직무: 생산기술 | 유형: 대기업,생산·품질,생산관리,제조 운영,상,,https://linkareer.com/cover-letter/21137?page=317&sort=RECENT_SCRAP_COUNT&tab=all
